(-0.355547,0.168776)
(-1.21656,0.226672)
(-1.27953,-0.0214594)
(-1.14534,-0.0757154)
(-1.01833,0.0769077)
(-0.926908,0.0976079)
(-1.13549,0.026259)
(-0.850753,-0.00785845)
(-0.0977329,0.746891)
(0.0490145,0.902749)
(-0.0105073,0.78715)
(0.174635,1.12233)
(0.247839,1.13389)
(0.17959,1.0217)
(0.0811835,0.871764)
(-0.0182479,0.555562)
(-0.0152261,-0.416922)
(-0.0812499,-1.10143)
(0.0561883,-1.06247)
(0.161546,-1.05649)
(0.11958,-1.01692)
(0.0180247,-0.968126)
(-0.0352836,-0.905742)
(-0.158712,-0.836548)
(-0.593888,-0.436644)
(-1.04914,-0.04418)
(-1.03423,0.00149511)
(-1.06744,0.0341627)
(-1.02399,-0.0215709)
(-0.957429,0.0863299)
(-1.01166,0.0220929)
(-0.98969,-0.321877)
(-0.302757,-0.836923)
(-0.00232078,-1.17715)
(0.0366827,-1.09308)
(0.193492,-0.981898)
(0.10899,-0.886847)
(0.010863,-1.10641)
(-0.0918483,-1.09368)
(0.045329,-1.00479)
(0.206004,-1.00593)
(-0.0420531,-1.05071)
(-0.169606,-1.17503)
(-0.14066,-0.823763)
(-0.0538111,-0.786835)
(0.00758991,-1.01876)
(0.00626752,-1.05258)
(0.0329341,-1.06571)
(0.00380573,-1.34008)
(-0.178143,-1.03288)
(-0.190389,-0.962134)
(-0.207388,-1.15092)
(-0.162584,-1.19371)
(0.142975,-1.02519)
(0.34429,-0.822932)
(0.292614,-1.01354)
(0.10554,-1.08694)
(-0.133981,-1.01997)
(-0.378817,-1.14039)
(-0.312049,-1.23124)
(0.0435343,-0.929073)
(0.00600929,-0.776145)
(-0.109749,-0.96051)
(-0.0416812,-1.14623)
(0.116939,-1.19885)
(0.0672373,-1.13182)
(0.00724861,-1.09653)
(0.0780429,-0.980825)
(0.0957527,-0.970799)
(0.048783,-1.04423)
(-0.196096,-1.14124)
(-0.353584,-1.08801)
(-0.854433,-0.294689)
(-1.0113,0.104149)
(-0.871623,0.000851147)
(-0.789171,-0.0313433)
(-0.89333,0.0374461)
(-1.17539,0.00615203)
(-1.01961,-0.051748)
(-0.975575,-0.14624)
(-1.06128,-0.0699317)
(-0.916656,0.224136)
(-1.06379,0.0124623)
(-1.08038,-0.152717)
(-0.971708,0.0170745)
(-1.02092,0.032403)
(-1.04959,-0.0352247)
(-0.799344,-0.0136654)
(-1.04381,-0.0184539)
(-1.04856,-0.155862)
(-1.115,0.0309939)
(-1.11288,0.0718396)
(-1.03226,-0.106804)
(-1.04595,-0.0419751)
(-0.970025,-0.00757011)
(-0.52792,0.256999)
(0.709215,0.0885555)
(1.27701,0.0718487)
(0.940363,0.0227823)
(0.918104,0.0628564)
(0.995397,0.0325569)
(0.991552,0.0329809)
(1.15813,0.160592)
(0.951701,-0.0189604)
(0.281388,-0.63745)
(-0.122284,-1.06594)
(-0.114609,-1.07562)
(-0.0223642,-0.968924)
(-0.0508326,-0.951999)
(0.124622,-1.03953)
(0.172338,-1.07039)
(-0.1423,-0.750585)
(-0.811068,-0.125587)
(-1.09423,0.0576167)
(-1.10172,0.0807341)
(-1.04668,0.194586)
(-1.00903,0.0984617)
(-1.12261,0.0033396)
(-1.04528,-0.0304746)
(-0.917547,-0.0729494)
(-1.076,-0.0736631)
(-1.05384,-0.22635)
(-1.12062,-0.236742)
(-1.00743,-0.0139103)
(-0.852465,0.0670633)
(-0.961727,0.0484032)
(-1.12977,0.073705)
(-0.968058,0.083462)
(-0.265639,-0.731116)
(0.110926,-1.03949)
(-0.0403132,-0.909415)
(0.0519305,-0.955325)
(-0.0697276,-0.861579)
(-0.0539957,-1.03251)
(0.116437,-1.11987)
(0.0300075,-0.877969)
(-0.621012,-0.294523)
(-0.984106,0.247163)
(-1.08336,0.0528528)
(-0.9643,0.0480142)
(-0.799708,0.069724)
(-0.988523,0.173551)
(-1.1035,0.18127)
(-0.976166,-0.0478963)
(-0.946703,0.0106706)
(-0.891504,0.289495)
(-0.870717,0.0933773)
(-0.878255,-0.0308558)
(-0.87571,0.0333351)
(-0.939551,-0.108207)
(-0.872919,-0.0579552)
(-0.763856,-0.18673)
(-0.366658,-0.652052)
(0.063527,-1.04308)
(4.21208e-06,-1.11344)
(-0.110844,-1.06)
(0.00502648,-0.958898)
(-0.0431372,-0.977559)
(0.0266356,-0.940018)
(0.337204,-0.783817)
(0.834111,-0.252675)
(1.02759,0.210219)
(1.01402,0.0691406)
(0.875828,0.0139198)
(1.06523,0.0778185)
(1.21055,-0.0762758)
(1.19671,-0.266012)
(0.798133,-0.00797862)
(-0.446233,0.159953)
(-0.981728,-0.0528743)
(-0.883343,-0.285684)
(-1.05479,-0.139769)
(-1.09285,0.00854822)
(-1.10436,0.0991494)
(-1.16122,0.055353)
(-0.954137,0.237283)
(-0.263292,0.628914)
(0.144077,0.978918)
(-0.0250287,0.947277)
(0.0356992,0.83401)
(0.0907589,0.919607)
(0.0260055,0.902073)
(-0.122672,0.739522)
(0.175737,0.69821)
(0.759551,0.403208)
(1.05256,0.00562963)
(0.982653,0.0814107)
(0.940618,0.224909)
(0.985591,0.0510367)
(1.15464,-0.235082)
(1.04658,-0.23419)
(0.833164,0.259823)
(0.219589,0.914487)
(-0.166972,1.19085)
(0.114008,1.25538)
(0.0589074,1.21406)
(-0.0878222,1.02788)
(-0.0112006,0.822977)
(-0.06968,1.007)
(-0.103758,0.826024)
(0.174854,-0.299061)
(0.185346,-1.03308)
(0.110773,-0.725676)
(0.180105,-0.700855)
(0.0287439,-0.848861)
(-0.0296076,-1.04252)
(-0.106708,-1.14856)
(-0.0229899,-0.668667)
(0.0811334,0.617929)
(0.0227419,1.30345)
(-0.0941232,1.03775)
(-0.00823135,1.09056)
(-0.00865992,1.08815)
(0.032349,1.08861)
(0.252155,1.18062)
(-0.00675903,0.900223)
(-0.848192,0.323682)
(-1.19058,-0.0647655)
(-0.843732,0.0131241)
(-0.74787,0.163269)
(-1.08545,0.151395)
(-1.28476,0.0549352)
(-1.1291,0.201828)
(-1.15944,0.18297)
(-1.08356,-0.0332359)
(-1.05467,0.0589884)
(-1.06967,-0.119445)
(-1.01749,-0.069568)
(-0.948229,0.0129592)
(-0.828394,-0.157441)
(-0.999678,-0.0797108)
(-0.706238,0.0133141)
(0.486883,-0.0373483)
(1.13681,-0.0659258)
(1.05265,-0.0303188)
(0.858106,-0.0878246)
(1.09723,-0.0779108)
(0.962395,-0.0647587)
(0.825637,-0.0983947)
(0.587221,-0.110643)
(-0.501215,0.0569657)
(-1.04048,0.0504981)
(-0.792399,-0.083111)
(-0.843092,0.145644)
(-0.918428,0.196552)
(-0.94878,-0.0394639)
(-1.19463,0.0897685)
(-0.637948,0.208638)
(0.377143,0.0200912)
(1.15136,-0.0858301)
(1.05949,-0.0401462)
(1.0475,-0.124732)
(1.18997,0.0890948)
(1.14367,0.0370012)
(1.1051,0.012472)
(1.092,0.091442)
(0.976586,-0.101276)
(0.959263,-0.069195)
(1.0423,0.0645447)
(0.889538,0.0244053)
(1.10527,0.0799001)
(1.19113,0.120444)
(1.05327,0.136051)
(0.667616,-0.0958659)
(0.223267,-0.911672)
(0.0228571,-1.14696)
(0.0653474,-0.888616)
(0.0619916,-0.902593)
(0.15674,-0.955963)
(0.0974524,-1.00733)
(0.0461067,-1.11432)
(-0.0189114,-0.545398)
(0.00687573,0.539615)
(0.0983409,1.04623)
(0.17705,1.02998)
(-0.00342417,1.06957)
(-0.164522,0.922414)
(-0.191638,0.951043)
(-0.033332,0.818372)
(0.0869158,0.963807)
(-0.088879,1.24985)
(-0.167327,1.09799)
(-0.141441,0.90505)
(0.120229,0.988321)
(0.197578,0.960847)
(-0.148075,0.793127)
(-0.086004,0.83523)
(0.0592059,1.04591)
(-0.0219152,1.10583)
(-0.0436868,0.920874)
(0.0100936,0.969728)
(0.0301848,0.938469)
(-0.0274799,1.04675)
(-0.184455,1.11875)
(-0.178806,1.1449)
(-0.0378766,0.816934)
(0.677372,0.213712)
(0.986992,-0.0212882)
(1.03036,0.123709)
(0.904306,0.0452468)
(0.855211,-0.0631789)
(1.10967,-0.109206)
(1.16505,-0.108124)
(0.669555,-0.00672691)
(-0.397434,0.116283)
(-0.988419,0.0144326)
(-0.897073,-0.015642)
(-1.11707,-0.0521272)
(-0.912154,-0.0392702)
(-0.943577,0.150824)
(-1.05353,0.0359711)
(-0.896477,-0.0107438)
(-0.986781,-0.17253)
(-1.00294,-0.141604)
(-0.946689,0.0434242)
(-1.03221,-0.00198455)
(-1.19105,-0.0315065)
(-1.00094,0.128607)
(-1.01336,0.044733)
(-0.928605,-0.360904)
(-0.339846,-0.913858)
(0.161255,-1.09069)
(0.15585,-0.846169)
(-0.0331987,-0.837303)
(0.00405104,-1.10542)
(0.0743698,-1.29525)
(-0.167741,-1.15317)
(0.192313,-0.693162)
(0.825049,-0.193317)
(1.01119,0.0236524)
(1.04909,0.0749396)
(0.864653,-0.0379937)
(0.894775,-0.0939289)
(0.865219,-0.144651)
(1.03722,-0.0184783)
(1.08396,0.110678)
(1.06173,0.0483777)
